hs6_code,description,category
760429,"Aluminium; alloys, bars, rods and profiles, other than hollow",Aluminium
760421,"Aluminium; alloys, hollow profiles",Aluminium
760521,"Aluminium; alloys, wire, maximum cross-sectional dimension exceeding 7mm",Aluminium
760529,"Aluminium; alloys, wire, maximum cross-sectional dimension is 7mm or less",Aluminium
760720,"Aluminium; foil, backed with paper, paperboard, plastics or similar backing materials, of a thickness not exceeding 0.2mm",Aluminium
760719,"Aluminium; foil, (not backed), of a thickness not exceeding 0.2mm, not rolled",Aluminium
760711,"Aluminium; foil, (not backed), rolled, of a thickness not exceeding 0.2mm",Aluminium
760410,"Aluminium; (not alloyed), bars, rods and profiles",Aluminium
760511,"Aluminium; (not alloyed), wire, maximum cross-sectional dimension exceeds 7mm",Aluminium
760519,"Aluminium; (not alloyed), wire, maximum cross-sectional dimension is 7mm or less",Aluminium
760692,"Aluminium; plates, sheets and strip, alloys, (not rectangular or square)",Aluminium
760612,"Aluminium; plates, sheets and strip, alloys, rectangular (including square)",Aluminium
760691,"Aluminium; plates, sheets and strip, not alloyed, (not rectangular or square)",Aluminium
760611,"Aluminium; plates, sheets and strip, (not alloyed), rectangular (including square)",Aluminium
760320,"Aluminium; powders of lamellar structure, flakes",Aluminium
760310,Aluminium; powders of non-lamellar structure,Aluminium
760900,"Aluminium; tube or pipe fittings (e.g. couplings, elbows, sleeves)",Aluminium
760820,"Aluminium; tubes and pipes, alloys",Aluminium
760810,"Aluminium; tubes and pipes, not alloyed",Aluminium
760120,"Aluminium; unwrought, alloys",Aluminium
760110,"Aluminium; unwrought, (not alloyed)",Aluminium
760200,Aluminium; waste and scrap,Aluminium
281830,Aluminium hydroxide,Aluminium ; Bauxite
260600,Aluminium ores and concentrates,Aluminium ; Bauxite
281810,Aluminium oxide; artificial corundum,Aluminium ; Bauxite
281820,Aluminium oxide; other than artificial corundum,Aluminium ; Bauxite
283330,Alums,Aluminium ; Bauxite
282732,Chlorides; of aluminium,Aluminium ; Bauxite
282612,Fluorides; of aluminium,Aluminium ; Bauxite
283322,Sulphates; of aluminium,Aluminium ; Bauxite
280480,Arsenic,Arsenic
284011,"Borates; disodium tetraborate (refined borax), anhydrous",Borates
284019,"Borates; disodium tetraborate (refined borax), other than anhydrous",Borates
252890,"Borates; natural, and concentrates thereof, n.e.s.",Borates
284020,Borates; n.e.c. in heading no. 2840,Borates
252800,Natural borates and concentrates thereof,Borates
281000,Oxides of boron; boric acids,Borates
284030,Peroxoborates (perborates),Borates
252810,"Sodium borates; natural, whether or not calcined",Borates
810790,Cadmium; other than unwrought,Cadmium
811269,Cadmium; other than waste and scrap,Cadmium
810720,"Cadmium; unwrought, powders",Cadmium
810710,"Cadmium, unwrought; waste and scrap; powders",Cadmium
810730,Cadmium; waste and scrap,Cadmium
811261,Cadmium; waste and scrap,Cadmium
262090,Ash and residues containing other metals,Chromium
811220,"Chromium and articles thereof, including waste",Chromium
811221,"Chromium and articles thereof; unwrought chromium, powders",Chromium
811229,Chromium and articles thereof; wrought other than waste and scrap,Chromium
261000,Chromium ores and concentrates,Chromium
281990,Chromium oxides and hydroxides; excluding chromium trioxide,Chromium
281910,Chromium trioxide,Chromium
811222,Chromium; waste and scrap,Chromium
262091,"Slag, ash and residues; containing antimony, beryllium, cadmium, chromium",Chromium
810590,Cobalt; articles n.e.c. in heading no. 8105,Cobalt
810520,"Cobalt; mattes, intermediate products, unwrought cobalt, powders",Cobalt
260500,Cobalt ores and concentrates,Cobalt
282200,Cobalt oxides and hydroxides; commercial cobalt oxides,Cobalt
810510,"Cobalt, unwrought, matte and intermediate products",Cobalt
810530,Cobalt; waste and scrap,Cobalt
282741,Chloride oxides and chloride hydroxides; of copper,Copper
740729,"Copper; bars, rods and profiles, of copper alloys",Copper
740721,"Copper; bars, rods and profiles, of copper-zinc base alloys (brass)",Copper
740710,"Copper; bars, rods and profiles, of refined copper",Copper
740329,Copper; copper alloys n.e.c.,Copper
740322,Copper; copper-tin base alloys (bronze) unwrought,Copper
740321,Copper; copper-zinc base alloys (brass) unwrought,Copper
741022,"Copper; foil, backed, thickness not exceeding 0.15mm, copper alloys",Copper
741021,"Copper; foil, backed, thickness not exceeding 0.15mm, refined copper",Copper
741012,"Copper; foil, not backed, thickness not exceeding 0.15mm, copper alloys",Copper
741011,"Copper; foil, not backed, thickness not exceeding 0.15mm, refined copper",Copper
740500,Copper; master alloys of copper,Copper
740100,Copper mattes; cement copper (precipitated copper),Copper
260300,Copper ores and concentrates,Copper
282550,Copper oxides and hydroxides,Copper
740939,"Copper; plates and sheets, copper-tin base alloys, not in coils",Copper
740929,"Copper; plates and sheets, copper-zinc base alloys (brass), not in coils",Copper
740919,"Copper; plates and sheets, refined copper, not in coils",Copper
740990,"Copper; plates, sheets and strip, copper alloys (other)",Copper
740940,"Copper; plates, sheets and strip, cupro-nickel or nickel silver",Copper
740620,"Copper; powders of lamellar structure, flakes",Copper
740610,Copper; powders of non-lamellar structure,Copper
740313,"Copper; refined, unwrought, billets",Copper
740311,"Copper; refined, unwrought, cathodes and sections of cathodes",Copper
740319,"Copper; refined, unwrought, n.e.c.",Copper
740312,"Copper; refined, unwrought, wire-bars",Copper
740931,"Copper; strip, copper-tin base alloys (bronze), in coils",Copper
740921,"Copper; strip, copper-zinc base alloys (brass), in coils",Copper
740911,"Copper; strip, refined copper, in coils",Copper
741220,Copper; tube or pipe fittings of copper alloys,Copper
741210,Copper; tube or pipe fittings of refined copper,Copper
741129,"Copper; tubes and pipes, of copper alloys (other)",Copper
741122,"Copper; tubes and pipes, cupro-nickel or nickel silver",Copper
741121,"Copper; tubes and pipes, of copper-zinc base alloys (brass)",Copper
741110,"Copper; tubes and pipes, of refined copper",Copper
740200,"Copper; unrefined, copper anodes for electrolytic refining",Copper
740400,Copper; waste and scrap,Copper
740829,"Copper; wire, of copper alloys (other)",Copper
740822,"Copper; wire, cupro-nickel or nickel silver",Copper
740821,"Copper; wire, of copper-zinc base alloys (brass)",Copper
740811,"Copper; wire, refined copper, dimension exceeds 6mm",Copper
740819,"Copper; wire, refined copper, dimension 6mm or less",Copper
262030,"Slag, ash and residues; containing mainly copper",Copper
283325,Sulphates; of copper,Copper
740722,"Copper; bars, rods and profiles, cupro-nickel or nickel silver",Copper mattes; cement copper
740120,Copper; cement copper (precipitated copper),Copper mattes; cement copper
740110,Copper; copper mattes,Copper mattes; cement copper
740323,Copper; cupro-nickel or nickel silver unwrought,Copper mattes; cement copper
870240,Electric public transport vehicles (10+ persons),Electric vehicles
870380,Vehicles with only electric motor for propulsion,Electric vehicles
870390,Vehicles for transport of persons n.e.c.,Electric vehicles; Hybrid vehicles
870290,Public transport type vehicles n.e.c.,Electric vehicles; Hybrid vehicles
850720,"Electric accumulators; lead-acid, (other than starting)",Energy storage systems
850730,Electric accumulators; nickel-cadmium,Energy storage systems
850740,Electric accumulators; nickel-iron,Energy storage systems
850750,Electric accumulators; nickel-metal hydride,Energy storage systems
252921,Fluorspar; containing by weight 97% or less calcium fluoride,Fluorspar
252922,Fluorspar; containing by weight more than 97% calcium fluoride,Fluorspar
252930,Leucite; nepheline and nepheline syenite,Fluorspar
811291,Gallium; hafnium; indium; niobium; rhenium or thallium unwrought,Gallium; Germanium; Indium; Vanadium
811230,Germanium; including waste and scrap,Gallium; Germanium; Indium; Vanadium
811240,Vanadium; including waste and scrap,Gallium; Germanium; Indium; Vanadium
811299,"Gallium, germanium, indium, niobium, vanadium articles",Gallium ; Imdium ; Niobium ; Vanadium ; Rhenium ; Hafnium ; Germanium
811292,"Gallium, germanium, indium, niobium, vanadium unwrought",Gallium ; Vanadium ; Imdium ; Niobium ; Germanium
850231,Electric generating sets; wind-powered,Generating sets; wind-powered
710900,Base metals or silver; clad with gold,Gold
284330,Gold compounds,Gold
710811,"Metals; gold, non-monetary, powder",Gold
710812,"Metals; gold, non-monetary, unwrought (not powder)",Gold
710813,"Metals; gold, semi-manufactured",Gold
261690,Precious metal ores and concentrates (excluding silver),Gold
250490,Graphite; natural in other forms,Graphite
250410,Graphite; natural in powder or flakes,Graphite
