Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
12758,https://globaltradealert.org/intervention/12758,10013,https://www.globaltradealert.org/state-act/10013,Uzbekistan: State support for Almalikski Mining and Metallurgical Plant (12.8 million USD),Red,Uzbekistan,National,all,State loan,L: Subsidies (excl. export subsidies),"342, 374, 393, 414, 415, 416","252310, 252321, 252329, 252330, 252390, 280410, 280421, 280429, 280430, 280440, 280450, 280461, 280469, 280470, 280480, 280490, 280700, 283311, 283319, 283321, 283322, 283324, 283325, 283327, 283329, 283330, 283340, 284130, 284150, 284161, 284169, 284170, 284180, 284190, 740311, 740312, 740313, 740319, 740321, 740322, 740329, 740710, 740721, 740729, 740811, 740819, 740821, 740822, 740829, 741110, 741121, 741122, 741129, 790310, 790390, 790400, 810210, 810294, 810295, 810296, 810297, 810299, 811261, 811269","Kazakhstan, Kyrgyzstan, China",False,2015-08-29,2015-08-29,,1
12759,https://globaltradealert.org/intervention/12759,10014,https://www.globaltradealert.org/state-act/10014,India: Incentive scheme announced by Kerala state extended to rubber latex,Red,India,National,all,Production subsidy,L: Subsidies (excl. export subsidies),"19, 32","400110, 400121, 400122, 400129, 400130","Sri Lanka, Malaysia, Vietnam, Thailand, Bangladesh, Cameroon, Indonesia, Ivory Coast, Liberia, Nigeria, South Africa, Cambodia, Philippines",False,2015-08-07,2015-08-07,,1
12770,https://globaltradealert.org/intervention/12770,10029,https://www.globaltradealert.org/state-act/10029,"Uzbekistan: State support for the ore mine at""Kayragach""",Red,Uzbekistan,National,firm-specific,State loan,L: Subsidies (excl. export subsidies),142,"261610, 261690",,False,2013-02-26,2013-02-26,,1
12771,https://globaltradealert.org/intervention/12771,10031,https://www.globaltradealert.org/state-act/10031,Indonesia: Third reform package announced,Amber,Indonesia,National,all,Production subsidy,L: Subsidies (excl. export subsidies),"341, 346","310100, 310210, 310221, 310229, 310230, 310240, 310250, 310260, 310280, 310290, 310311, 310319, 310390, 310420, 310430, 310490, 310510, 310520, 310530, 310540, 310551, 310559, 310560, 310590","Norway, Singapore, Malaysia, China, Cape Verde, Republic of Korea, Madagascar, Australia, Ukraine, Belgium, Peru, Egypt, Belarus, Canada, Germany, Jordan, Russia, Chile, Japan, Morocco, Netherlands, Vietnam, United States of America",False,2015-10-07,2016-01-01,,1
13018,https://globaltradealert.org/intervention/13018,10372,https://www.globaltradealert.org/state-act/10372,"Malaysia: Announces allocation of RM 2.4 billion in subsidies and incentives for the paddy, fertilizer and fishing industry for the year 2014",Red,Malaysia,National,all,"State aid, unspecified",L: Subsidies (excl. export subsidies),"11, 29, 41, 42, 43, 44, 212, 231, 341, 346","30111, 30119, 30191, 30192, 30193, 30194, 30195, 30199, 30211, 30213, 30214, 30219, 30221, 30222, 30223, 30224, 30229, 30231, 30232, 30233, 30234, 30235, 30236, 30239, 30241, 30242, 30243, 30244, 30245, 30246, 30247, 30249, 30251, 30252, 30253, 30254, 30255, 30256, 30259, 30271, 30272, 30273, 30274, 30279, 30281, 30282, 30283, 30284, 30285, 30289, 30291, 30292, 30299, 30311, 30312, 30313, 30314, 30319, 30323, 30324, 30325, 30326, 30329, 30331, 30332, 30333, 30334, 30339, 30341, 30342, 30343, 30344, 30345, 30346, 30349, 30351, 30353, 30354, 30355, 30356, 30357, 30359, 30363, 30364, 30365, 30366, 30367, 30368, 30369, 30381, 30382, 30383, 30384, 30389, 30391, 30392, 30399, 30431, 30432, 30433, 30439, 30441, 30442, 30443, 30444, 30445, 30446, 30447, 30448, 30449, 30451, 30452, 30453, 30454, 30455, 30456, 30457, 30459, 30461, 30462, 30463, 30469, 30471, 30472, 30473, 30474, 30475, 30479, 30481, 30482, 30483, 30484, 30485, 30486, 30487, 30488, 30489, 30491, 30492, 30493, 30494, 30495, 30496, 30497, 30499, 30520, 30531, 30532, 30539, 30541, 30542, 30543, 30544, 30549, 30551, 30552, 30553, 30554, 30559, 30561, 30562, 30563, 30564, 30569, 30571, 30572, 30579, 30611, 30612, 30614, 30615, 30616, 30617, 30619, 30631, 30632, 30633, 30634, 30635, 30636, 30639, 30691, 30692, 30693, 30694, 30695, 30699, 30711, 30712, 30719, 30721, 30722, 30729, 30731, 30732, 30739, 30742, 30743, 30749, 30751, 30752, 30759, 30760, 30771, 30772, 30779, 30781, 30782, 30783, 30784, 30787, 30788, 30791, 30792, 30799, 30910, 30990, 100610, 100620, 100630, 100640, 310100, 310210, 310221, 310229, 310230, 310240, 310250, 310260, 310280, 310290, 310311, 310319, 310390, 310420, 310430, 310490, 310510, 310520, 310530, 310540, 310551, 310559, 310560, 310590","Bahrain, Falkland Islands, Iran, Oman, Norway, Japan, Indonesia, India, Chile, Madagascar, United States of America, Netherlands, Pakistan, China, Republic of Korea, Italy, Vietnam, Morocco, Thailand, Sweden, Singapore, Hong Kong, Lithuania, Belgium, United Arab Emirates, Australia, Argentina, Myanmar, Russia, South Africa, Qatar, Peru, Jordan, Germany, New Zealand, Poland, Mexico, Egypt, Bangladesh, Switzerland, France, Yemen, Belarus, Iceland, Ukraine, Canada, Finland, Spain, Cambodia",False,2013-10-25,2014-01-01,2015-01-01,0
13266,https://globaltradealert.org/intervention/13266,10643,https://www.globaltradealert.org/state-act/10643,Germany: Tax relief for industrial gas producers,Red,Germany,National,all,Tax or social insurance relief,L: Subsidies (excl. export subsidies),342,"280410, 280421, 280429, 280430, 280440, 280450, 280461, 280469, 280470, 280480, 280490","Norway, Czechia, France, Netherlands, Belgium, Algeria, Austria, Poland, Portugal, Qatar, Russia, Ukraine, United States of America, Canada, Japan, Philippines, China, Republic of Korea, Switzerland, United Kingdom, Australia, Bosnia & Herzegovina, Brazil, Italy, South Africa, Spain, Kazakhstan, Finland, Sweden",False,2011-01-01,2011-01-01,,1
13267,https://globaltradealert.org/intervention/13267,10645,https://www.globaltradealert.org/state-act/10645,Germany: State aid for non-ferrous metal industry,Red,Germany,National,all,Production subsidy,L: Subsidies (excl. export subsidies),"393, 414, 415, 421, 422, 429","740200, 740311, 740312, 740313, 740319, 740321, 740322, 740329, 740400, 740500, 740610, 740620, 740710, 740721, 740729, 740811, 740819, 740821, 740822, 740829, 740911, 740919, 740921, 740929, 740931, 740939, 740940, 740990, 741011, 741012, 741021, 741022, 741110, 741121, 741122, 741129, 741210, 741220, 741300, 741510, 741521, 741529, 741533, 741539, 741810, 741820, 741920, 741980, 750110, 750120, 750210, 750220, 750300, 750400, 750511, 750512, 750521, 750522, 750610, 750620, 750711, 750712, 750720, 750810, 750890, 760110, 760120, 760200, 760310, 760320, 760410, 760421, 760429, 760511, 760519, 760521, 760529, 760611, 760612, 760691, 760692, 760711, 760719, 760720, 760810, 760820, 760900, 761010, 761090, 761100, 761210, 761290, 761300, 761410, 761490, 761510, 761520, 761610, 761691, 761699, 780110, 780191, 780199, 780200, 780411, 780419, 780420, 780600, 790111, 790112, 790120, 790200, 790310, 790390, 790500, 790700, 800110, 800120, 800200, 800300, 800700","Colombia, Jordan, Norway, Sweden, Greece, Russia, Japan, Canada, Switzerland, France, Netherlands, Malaysia, Trinidad & Tobago, Bosnia & Herzegovina, United Kingdom, United States of America, India, Oman, South Africa, Mexico, Hungary, Finland, Italy, Romania, Brazil, Austria, Poland, Estonia, China, Republic of Moldova, Lithuania, Ireland, Republic of Korea, Spain, Bulgaria, Slovakia, Czechia, Serbia, Australia, Luxembourg, Turkiye, Israel, Slovenia, Philippines, Bahrain, Pakistan, Malta, Tajikistan, Belgium, Argentina, Costa Rica, Hong Kong, Tunisia, Cyprus, New Zealand, Croatia, Albania, Saudi Arabia, Portugal, Nigeria, Singapore, DR Congo, Peru, Belarus, Latvia, Iran, Ukraine, Vietnam, Thailand, Niger, United Arab Emirates, Denmark, Iceland, Bangladesh, Zambia, Egypt, Kazakhstan, Morocco, Venezuela, Chile, Congo, Kyrgyzstan, Macedonia, Namibia, Syria, Libya, Algeria, Zimbabwe, Mozambique, Bolivia, Armenia, Indonesia",False,2009-08-13,2009-08-13,2013-07-12,0
13422,https://globaltradealert.org/intervention/13422,10846,https://www.globaltradealert.org/state-act/10846,United States of America/State of New York: Subsidies to Alcoa aluminum plant,Red,United States of America,Subnational,firm-specific,Financial grant,L: Subsidies (excl. export subsidies),"393, 414, 415","760110, 760120, 760200, 760310, 760320, 760410, 760421, 760429","Norway, Egypt, Argentina, Bahrain, Brazil, Canada, China, France, Germany, Republic of Korea, New Zealand, Russia, Saudi Arabia, South Africa, United Arab Emirates, Venezuela, Australia, Belgium, Hungary, Italy, Japan, Malaysia, Mexico, Netherlands, Qatar, Spain, Turkiye, Ukraine, United Kingdom, Austria, Bahamas, Bolivia, Chile, Colombia, Costa Rica, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Nicaragua, Panama, Paraguay, Poland, Thailand, Greece, Indonesia, Israel, India, Vietnam, Sweden, Switzerland, Czechia, Romania, Slovenia",False,2015-11-24,2015-11-24,,1
13636,https://globaltradealert.org/intervention/13636,11160,https://www.globaltradealert.org/state-act/11160,Iceland: State aid to Becromal,Red,Iceland,National,all,Financial grant,L: Subsidies (excl. export subsidies),415,"760711, 760719, 760720","Italy, Germany",False,2010-12-30,2010-12-30,2016-04-28,0
13689,https://globaltradealert.org/intervention/13689,11242,https://www.globaltradealert.org/state-act/11242,France: Investment support for Europe's first titanium recycling facility,Red,France,IFI,all,State loan,L: Subsidies (excl. export subsidies),"393, 416","810820, 810830, 810890","Belgium, Canada, China, Hungary, Ireland, Italy, Mexico, Morocco, Netherlands, Poland, Portugal, Romania, Singapore, Spain, Sweden, Switzerland, Turkiye, Germany, Japan, Kazakhstan, Russia, Ukraine, United Kingdom, United States of America",False,2016-03-10,2016-03-10,,1
